
> rearvy2.0@0.1.2 dev:web
> cd website && npm run dev


> rearvy-website@0.1.2 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.20.10.2:3000
- Environments: .env.local
✓ Ready in 1112ms
Creating turbopack project { dir: 'C:\\Users\\sinaa\\rearvy2.0\\website', testMode: true }
 POST /api/internal/automaton 200 in 380ms (next.js: 16ms, application-code: 364ms)
 POST /api/internal/automaton 200 in 378ms (next.js: 47ms, application-code: 331ms)
 POST /api/internal/automaton 200 in 379ms (next.js: 55ms, application-code: 324ms)
 POST /api/internal/automaton 200 in 381ms (next.js: 63ms, application-code: 317ms)
 POST /api/internal/automaton 200 in 381ms (next.js: 89ms, application-code: 292ms)
 POST /api/internal/automaton 200 in 383ms (next.js: 99ms, application-code: 283ms)
 POST /api/internal/automaton 200 in 383ms (next.js: 139ms, application-code: 244ms)
 POST /api/internal/automaton 200 in 387ms (next.js: 109ms, application-code: 278ms)
 POST /api/internal/automaton 200 in 390ms (next.js: 81ms, application-code: 309ms)
 POST /api/internal/automaton 200 in 390ms (next.js: 128ms, application-code: 262ms)
 POST /api/internal/automaton 200 in 393ms (next.js: 119ms, application-code: 275ms)
 POST /api/internal/automaton 200 in 257ms (next.js: 45ms, application-code: 212ms)
 POST /api/internal/automaton 200 in 145ms (next.js: 15ms, application-code: 130ms)
 POST /api/internal/automaton 200 in 261ms (next.js: 35ms, application-code: 227ms)
 POST /api/internal/automaton 200 in 151ms (next.js: 7ms, application-code: 144ms)
 POST /api/internal/automaton 200 in 267ms (next.js: 25ms, application-code: 242ms)
 POST /api/internal/automaton 200 in 219ms (next.js: 25ms, application-code: 193ms)
 POST /api/internal/automaton 200 in 225ms (next.js: 6ms, application-code: 219ms)
 POST /api/internal/automaton 200 in 226ms (next.js: 15ms, application-code: 211ms)
 POST /api/internal/automaton 200 in 226ms (next.js: 35ms, application-code: 191ms)
 POST /api/internal/automaton 200 in 184ms (next.js: 17ms, application-code: 167ms)
 POST /api/internal/automaton 200 in 174ms (next.js: 16ms, application-code: 158ms)
 POST /api/internal/automaton 200 in 180ms (next.js: 27ms, application-code: 153ms)
 POST /api/internal/automaton 200 in 181ms (next.js: 37ms, application-code: 144ms)
 POST /api/internal/automaton 200 in 185ms (next.js: 7ms, application-code: 179ms)
 POST /api/internal/automaton 200 in 185ms (next.js: 47ms, application-code: 138ms)
 POST /api/internal/automaton 200 in 135ms (next.js: 17ms, application-code: 118ms)
 POST /api/internal/automaton 200 in 141ms (next.js: 7ms, application-code: 134ms)
 POST /api/internal/automaton 200 in 129ms (next.js: 4ms, application-code: 125ms)
 POST /api/internal/automaton 200 in 112ms (next.js: 3ms, application-code: 109ms)
 POST /api/internal/automaton 200 in 107ms (next.js: 2ms, application-code: 104ms)
 POST /api/internal/automaton 200 in 95ms (next.js: 3ms, application-code: 92ms)
 POST /api/internal/automaton 200 in 351ms (next.js: 5ms, application-code: 347ms)
 POST /api/internal/automaton 200 in 353ms (next.js: 14ms, application-code: 338ms)
 POST /api/internal/automaton 200 in 327ms (next.js: 13ms, application-code: 314ms)
 POST /api/internal/automaton 200 in 327ms (next.js: 31ms, application-code: 296ms)
 POST /api/internal/automaton 200 in 330ms (next.js: 21ms, application-code: 308ms)
 POST /api/internal/automaton 200 in 387ms (next.js: 33ms, application-code: 353ms)
 POST /api/internal/automaton 200 in 390ms (next.js: 25ms, application-code: 364ms)
 POST /api/internal/automaton 200 in 390ms (next.js: 52ms, application-code: 338ms)
 POST /api/internal/automaton 200 in 394ms (next.js: 16ms, application-code: 378ms)
 POST /api/internal/automaton 200 in 394ms (next.js: 43ms, application-code: 351ms)
 POST /api/internal/automaton 200 in 402ms (next.js: 65ms, application-code: 337ms)
 POST /api/internal/automaton 200 in 330ms (next.js: 30ms, application-code: 300ms)
 POST /api/internal/automaton 200 in 333ms (next.js: 19ms, application-code: 314ms)
 POST /api/internal/automaton 200 in 334ms (next.js: 62ms, application-code: 271ms)
 POST /api/internal/automaton 200 in 335ms (next.js: 70ms, application-code: 265ms)
 POST /api/internal/automaton 200 in 336ms (next.js: 88ms, application-code: 248ms)
 POST /api/internal/automaton 200 in 336ms (next.js: 105ms, application-code: 231ms)
 POST /api/internal/automaton 200 in 340ms (next.js: 78ms, application-code: 262ms)
 POST /api/internal/automaton 200 in 341ms (next.js: 98ms, application-code: 243ms)
 POST /api/internal/automaton 200 in 273ms (next.js: 44ms, application-code: 228ms)
 POST /api/internal/automaton 200 in 277ms (next.js: 18ms, application-code: 259ms)
 POST /api/internal/automaton 200 in 279ms (next.js: 26ms, application-code: 253ms)
 POST /api/internal/automaton 200 in 282ms (next.js: 11ms, application-code: 271ms)
 POST /api/internal/automaton 200 in 282ms (next.js: 35ms, application-code: 247ms)
 POST /api/internal/automaton 200 in 282ms (next.js: 72ms, application-code: 210ms)
 POST /api/internal/automaton 200 in 284ms (next.js: 63ms, application-code: 221ms)
 POST /api/internal/automaton 200 in 286ms (next.js: 54ms, application-code: 233ms)
 POST /api/internal/automaton 200 in 288ms (next.js: 41ms, application-code: 247ms)
 POST /api/internal/automaton 200 in 292ms (next.js: 31ms, application-code: 261ms)
 POST /api/internal/automaton 200 in 294ms (next.js: 60ms, application-code: 235ms)
 POST /api/internal/automaton 200 in 300ms (next.js: 21ms, application-code: 279ms)
 POST /api/internal/automaton 200 in 300ms (next.js: 51ms, application-code: 250ms)
 POST /api/internal/automaton 200 in 301ms (next.js: 79ms, application-code: 221ms)
 POST /api/internal/automaton 200 in 305ms (next.js: 70ms, application-code: 235ms)
 POST /api/internal/automaton 200 in 319ms (next.js: 98ms, application-code: 221ms)
 POST /api/internal/automaton 200 in 179ms (next.js: 7ms, application-code: 172ms)
 POST /api/internal/automaton 200 in 180ms (next.js: 16ms, application-code: 164ms)
 POST /api/internal/automaton 200 in 325ms (next.js: 89ms, application-code: 236ms)
 POST /api/internal/automaton 200 in 163ms (next.js: 8ms, application-code: 155ms)
 POST /api/internal/automaton 200 in 182ms (next.js: 22ms, application-code: 161ms)
 POST /api/internal/automaton 200 in 182ms (next.js: 58ms, application-code: 124ms)
 POST /api/internal/automaton 200 in 186ms (next.js: 40ms, application-code: 146ms)
 POST /api/internal/automaton 200 in 187ms (next.js: 49ms, application-code: 139ms)
 POST /api/internal/automaton 200 in 115ms (next.js: 4ms, application-code: 111ms)
 POST /api/internal/automaton 200 in 117ms (next.js: 13ms, application-code: 104ms)
 POST /api/internal/automaton 200 in 196ms (next.js: 31ms, application-code: 165ms)
 POST /api/internal/automaton 200 in 100ms (next.js: 3ms, application-code: 97ms)
 POST /api/internal/automaton 200 in 128ms (next.js: 3ms, application-code: 125ms)
 POST /api/internal/automaton 200 in 129ms (next.js: 13ms, application-code: 117ms)
 POST /api/internal/automaton 200 in 120ms (next.js: 2ms, application-code: 118ms)
 POST /api/internal/automaton 200 in 114ms (next.js: 3ms, application-code: 111ms)
 POST /api/internal/automaton 200 in 177ms (next.js: 3ms, application-code: 174ms)
 POST /api/internal/automaton 200 in 106ms (next.js: 3ms, application-code: 103ms)
 POST /api/internal/automaton 200 in 118ms (next.js: 3ms, application-code: 114ms)
 POST /api/internal/automaton 200 in 627ms (next.js: 19ms, application-code: 608ms)
 POST /api/internal/automaton 200 in 216ms (next.js: 3ms, application-code: 213ms)
 POST /api/internal/automaton 200 in 257ms (next.js: 3ms, application-code: 255ms)
 POST /api/internal/automaton 200 in 244ms (next.js: 3ms, application-code: 241ms)
 POST /api/internal/automaton 200 in 141ms (next.js: 8ms, application-code: 133ms)
 POST /api/internal/automaton 200 in 165ms (next.js: 3ms, application-code: 162ms)
 POST /api/internal/automaton 200 in 150ms (next.js: 2ms, application-code: 147ms)
 POST /api/internal/automaton 200 in 163ms (next.js: 3ms, application-code: 160ms)
 POST /api/internal/automaton 200 in 137ms (next.js: 3ms, application-code: 134ms)
 POST /api/internal/automaton 200 in 144ms (next.js: 3ms, application-code: 140ms)
 POST /api/internal/automaton 200 in 149ms (next.js: 3ms, application-code: 146ms)
 POST /api/internal/automaton 200 in 142ms (next.js: 3ms, application-code: 139ms)
 POST /api/internal/automaton 200 in 105ms (next.js: 3ms, application-code: 102ms)
 POST /api/internal/automaton 200 in 113ms (next.js: 3ms, application-code: 110ms)
 POST /api/internal/automaton 200 in 113ms (next.js: 3ms, application-code: 110ms)
 POST /api/internal/automaton 200 in 118ms (next.js: 3ms, application-code: 115ms)
 POST /api/internal/automaton 200 in 112ms (next.js: 3ms, application-code: 109ms)
 POST /api/internal/automaton 200 in 138ms (next.js: 3ms, application-code: 135ms)
 POST /api/internal/automaton 200 in 165ms (next.js: 3ms, application-code: 162ms)
 POST /api/internal/automaton 200 in 193ms (next.js: 3ms, application-code: 190ms)
 POST /api/internal/automaton 200 in 141ms (next.js: 2ms, application-code: 139ms)
 POST /api/internal/automaton 200 in 129ms (next.js: 3ms, application-code: 127ms)
 POST /api/internal/automaton 200 in 150ms (next.js: 5ms, application-code: 145ms)
 POST /api/internal/automaton 200 in 152ms (next.js: 26ms, application-code: 126ms)
 POST /api/internal/automaton 200 in 145ms (next.js: 22ms, application-code: 122ms)
 POST /api/internal/automaton 200 in 163ms (next.js: 16ms, application-code: 146ms)
 POST /api/internal/automaton 200 in 108ms (next.js: 3ms, application-code: 105ms)
 POST /api/internal/automaton 200 in 151ms (next.js: 2ms, application-code: 149ms)
 POST /api/internal/automaton 200 in 201ms (next.js: 4ms, application-code: 197ms)
 POST /api/internal/automaton 200 in 355ms (next.js: 19ms, application-code: 336ms)
 POST /api/internal/automaton 200 in 389ms (next.js: 25ms, application-code: 364ms)
 POST /api/internal/automaton 200 in 391ms (next.js: 32ms, application-code: 359ms)
 POST /api/internal/automaton 200 in 390ms (next.js: 64ms, application-code: 326ms)
 POST /api/internal/automaton 200 in 393ms (next.js: 49ms, application-code: 344ms)
 POST /api/internal/automaton 200 in 394ms (next.js: 57ms, application-code: 337ms)
 POST /api/internal/automaton 200 in 398ms (next.js: 40ms, application-code: 358ms)
 POST /api/internal/automaton 200 in 396ms (next.js: 81ms, application-code: 315ms)
 POST /api/internal/automaton 200 in 397ms (next.js: 91ms, application-code: 306ms)
 POST /api/internal/automaton 200 in 393ms (next.js: 108ms, application-code: 285ms)
 POST /api/internal/automaton 200 in 394ms (next.js: 137ms, application-code: 257ms)
 POST /api/internal/automaton 200 in 405ms (next.js: 72ms, application-code: 334ms)
 POST /api/internal/automaton 200 in 399ms (next.js: 117ms, application-code: 282ms)
 POST /api/internal/automaton 200 in 405ms (next.js: 148ms, application-code: 257ms)
 POST /api/internal/automaton 200 in 307ms (next.js: 81ms, application-code: 226ms)
 POST /api/internal/automaton 200 in 309ms (next.js: 71ms, application-code: 238ms)
 POST /api/internal/automaton 200 in 310ms (next.js: 90ms, application-code: 219ms)
 POST /api/internal/automaton 200 in 414ms (next.js: 126ms, application-code: 287ms)
 POST /api/internal/automaton 200 in 261ms (next.js: 78ms, application-code: 183ms)
 POST /api/internal/automaton 200 in 265ms (next.js: 61ms, application-code: 204ms)
 POST /api/internal/automaton 200 in 268ms (next.js: 51ms, application-code: 216ms)
 POST /api/internal/automaton 200 in 267ms (next.js: 88ms, application-code: 179ms)
 POST /api/internal/automaton 200 in 271ms (next.js: 70ms, application-code: 201ms)
 POST /api/internal/automaton 200 in 270ms (next.js: 98ms, application-code: 173ms)
 POST /api/internal/automaton 200 in 289ms (next.js: 41ms, application-code: 248ms)
 POST /api/internal/automaton 200 in 321ms (next.js: 115ms, application-code: 206ms)
 POST /api/internal/automaton 200 in 325ms (next.js: 107ms, application-code: 219ms)
 POST /api/internal/automaton 200 in 200ms (next.js: 29ms, application-code: 171ms)
 POST /api/internal/automaton 200 in 203ms (next.js: 10ms, application-code: 193ms)
 POST /api/internal/automaton 200 in 204ms (next.js: 20ms, application-code: 185ms)
 POST /api/internal/automaton 200 in 205ms (next.js: 37ms, application-code: 168ms)
 POST /api/internal/automaton 200 in 146ms (next.js: 27ms, application-code: 119ms)
